Адыгейск,12689
Майкоп,144055
Горно-Алтайск,62861
Алейск,28528
Барнаул,635585
Белокуриха,15072
Бийск,203826
Горняк,13040
Заринск,47035
Змеиногорск,10569
Камень-на-Оби,41787
Новоалтайск,73134
Рубцовск,146386
Славгород,30370
Яровое,18085
Белогорск,68220
Благовещенск,214397
Завитинск,11481
Зея,25042
Райчихинск,20499
Свободный,58594
Сковородино,9561
Тында,35574
Циолковский,6208
Шимановск,19815
Архангельск,348716
Вельск,23885
Каргополь,10148
Коряжма,39629
Котлас,60562
Мезень,3599
Мирный,30259
Новодвинск,40612
Няндома,22354
Онега,21359
Северодвинск,192265
Сольвычегодск,2460
Шенкурск,5702
Астрахань,520662
Ахтубинск,41898
Знаменск,29357
Камызяк,16291
Нариманов,11386
Харабали,18209
Агидель,16365
Баймак,17710
Белебей,60183
Белорецк,68804
Бирск,41637
Благовещенск,34246
Давлеканово,24040
Дюртюли,31272
Ишимбай,66259
Кумертау,62854
Межгорье,17353
Мелеуз,61408
Нефтекамск,121757
Октябрьский,109379
Салават,156085
Сибай,62732
Стерлитамак,273432
Туймазы,66849
Уфа,1062300
Учалы,37771
Янаул,26988
Алексеевка,39026
Белгород,356426
Бирюч,7842
Валуйки,35322
Грайворон,6234
Губкин,88562
Короча,5877
Новый Оскол,19530
Старый Оскол,221163
Строитель,23933
Шебекино,44277
Брянск,415640
Дятьково,29438
Жуковка,18269
Злынка,5507
Карачев,19715
Клинцы,62510
Мглин,7916
Новозыбков,40552
Почеп,17933
Севск,7282
Сельцо,17933
Стародуб,19010
Сураж,11640
Трубчевск,15014
Унеча,26196
Фокино,13874
Бабушкин,4542
Гусиноозерск,23280
Закаменск,11249
Кяхта,20013
Северобайкальск,23673
Улан-Удэ,431922
Александров,61544
Владимир,348256
Вязники,41252
Гороховец,14015
Гусь-Хрустальный,60773
Камешково,13113
Карабаново,14868
Киржач,30044
Ковров,145492
Кольчугино,45804
Костерево,9136
Курлово,6791
Лакинск,15707
Меленки,15208
Муром,116078
Петушки,15167
Покров,17762
Радужный,18212
Собинка,19482
Струнино,14372
Судогда,11848
Суздаль,10535
Юрьев-Польский,19588
Волгоград,1021244
Волжский,314436
Дубовка,14345
Жирновск,16890
Калач-на-Дону,26892
Камышин,119924
Котельниково,20441
Котово,24104
Краснослободск,16007
Ленинск,15527
Михайловка,59153
Николаевск,15081
Новоаннинский,17911
Палласовка,15984
Петров Вал,13264
Серафимович,9368
Суровикино,20527
Урюпинск,41594
Фролово,39489
Бабаево,12074
Белозерск,9614
Великий Устюг,31664
Вологда,301642
Вытегра,10490
Грязовец,15528
Кадников,4797
Кириллов,7735
Красавино,7003
Никольск,8515
Сокол,38454
Тотьма,9784
Устюжна,9478
Харовск,10078
Череповец,312311
Бобров,19738
Богучар,11811
Борисоглебск,65585
Бутурлиновка,27208
Воронеж,889680
Калач,20046
Лиски,55864
Нововоронеж,32635
Новохоперск,6849
Острогожск,33842
Павловск,25126
Поворино,17692
Россошь,62865
Семилуки,26025
Эртиль,11387
Буйнакск,65735
Дагестанские Огни,30671
Дербент,119961
Избербаш,56301
Каспийск,103914
Кизилюрт,36187
Кизляр,49169
Махачкала,577990
Хасавюрт,133929
Южно-Сухокумск,10048
Биробиджан,75419
Облучье,9379
Балей,12536
Борзя,31376
Краснокаменск,55668
Могоча,13228
Нерчинск,14976
Петровск-Забайкальский,18555
Сретенск,6850
Хилок,11530
Чита,323964
Шилка,13947
Вичуга,37609
Гаврилов Посад,6434
Заволжск,12045
Иваново,409277
Кинешма,88113
Комсомольск,8693
Кохма,29408
Наволоки,10207
Плес,2341
Приволжск,16749
Пучеж,8583
Родники,26318
Тейково,34993
Фурманов,36149
Шуя,58528
Южа,14170
Юрьевец,10205
Карабулак,31081
Магас,2505
Малгобек,31076
Назрань,93357
Сунжа,64493[3]
Алзамай,6751
Ангарск,233765
Байкальск,13589
Бирюсинск,8981
Бодайбо,15331
Братск,246348
Вихоревка,22528
Железногорск-Илимский,26134
Зима,32522
Иркутск,587225
Киренск,12652
Нижнеудинск,37056
Саянск,40786
Свирск,13649
Слюдянка,18542
Тайшет,35481
Тулун,44603
Усолье-Сибирское,83364
